repo,support_tier,repo_description,path,repo_relative_path,extension,bytes,lines,mtime_utc,date_signals,latest_date_signal,encoding_valid_utf8,encoding_issue,invalid_utf8_byte_samples,sha256
scripts,primary,elanthia-online/scripts,stage/scripts/bin/tasks/migrate.rb,bin/tasks/migrate.rb,rb,276,12,2026-05-08T21:45:17Z,"",,true,"","",11eecf5d21374c9b8912efee4eaf325b1bd52102cf939b616018df37252edb41
scripts,primary,elanthia-online/scripts,stage/scripts/lib/lich/gameobj.rb,lib/lich/gameobj.rb,rb,14829,471,2026-05-08T21:45:17Z,"",,true,"","",a21ad04a361544355bfbed23970c61cce734e1248572c9cde60b7d1c470c20fc
scripts,primary,elanthia-online/scripts,stage/scripts/lib/migration/change-set.rb,lib/migration/change-set.rb,rb,2119,83,2026-05-08T21:45:17Z,"",,true,"","",20f5c7f9abb668f39ed550c9ee277a8ee1fdf050af3437a43240bac25aef6cc3
scripts,primary,elanthia-online/scripts,stage/scripts/lib/migration/convert.rb,lib/migration/convert.rb,rb,936,34,2026-05-08T21:45:17Z,"",,true,"","",e5fb35d147eb193e020a3db208c74bab80d09f9a2d7e5bfdcd246459a534e73e
scripts,primary,elanthia-online/scripts,stage/scripts/lib/migration/migration.rb,lib/migration/migration.rb,rb,1654,61,2026-05-08T21:45:17Z,"",,true,"","",68ed9dd2e05b9e201405250f1f0a4ab7cec2b93b1d069c1dbc87524c40023368
scripts,primary,elanthia-online/scripts,stage/scripts/lib/migration/migrator.rb,lib/migration/migrator.rb,rb,2786,101,2026-05-08T21:45:17Z,"",,true,"","",24ac3277935133b380602e62168003fb6b55355dbe3b0710bc87065fae22d262
scripts,primary,elanthia-online/scripts,stage/scripts/lib/migration/table.rb,lib/migration/table.rb,rb,5874,189,2026-05-08T21:45:17Z,"",,true,"","",61ce8bc9f626e95de3e90ae6be5c3c5877247bd986ce1b558f49ddb5eb7a6d0b
scripts,primary,elanthia-online/scripts,stage/scripts/lib/migration/validate.rb,lib/migration/validate.rb,rb,349,19,2026-05-08T21:45:17Z,"",,true,"","",86973564dc43d74994dbb8cca3d9a5209a0f371527eae322f4a888763cb8af2c
scripts,primary,elanthia-online/scripts,stage/scripts/lib/migration.rb,lib/migration.rb,rb,83,1,2026-05-08T21:45:17Z,"",,true,"","",c311d06ad47ef3baf7de2cc20be8d857b67cdde2136bb6d29098f97e00936a6e
scripts,primary,elanthia-online/scripts,stage/scripts/lib/spec/factories.rb,lib/spec/factories.rb,rb,375,13,2026-05-08T21:45:17Z,"",,true,"","",359190fc0776c59e6e87e1fd4980bb1fb7d6dd026c9d20c68d3524fdef9ec1e7
scripts,primary,elanthia-online/scripts,stage/scripts/lib/util/color.rb,lib/util/color.rb,rb,419,30,2026-05-08T21:45:17Z,"",,true,"","",17c3488883e9aea299929d4829cdcea4668d9fe2c38920fc0bb5475676f300e3
scripts,primary,elanthia-online/scripts,stage/scripts/scripts/0net.lic,scripts/0net.lic,lic,77946,1781,2026-05-08T21:45:17Z,"",,true,"","",9b134f073c4241a7b1cdbee1c58c61d5539c60de504341b0aabfa15a0e8b50af
scripts,primary,elanthia-online/scripts,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,lic,505178,9143,2026-05-08T21:45:17Z,2025-07-30|2025-06-19|2025-05-09|2025-05-03|2025-02-15,2025-07-30,true,"","",6a9b83c3ac28a3003d6219167ce89ce046a7764732fecbe41304248f48346812
scripts,primary,elanthia-online/scripts,stage/scripts/scripts/CombatLog.lic,scripts/CombatLog.lic,lic,32205,564,2026-05-08T21:45:17Z,"",,true,"","",879c8bb4323ef806ed1634a015dc5c9858670134f0378f5db5cca8b8384aad3b
scripts,primary,elanthia-online/scripts,stage/scripts/scripts/ECTracker.lic,scripts/ECTracker.lic,lic,15262,370,2026-05-08T21:45:17Z,"",,true,"","",3da8347f6acdb3b917b4a234b771cc9a2217dcdd763d39c2ea15db75086e836e
scripts,primary,elanthia-online/scripts,stage/scripts/scripts/ForgeMaster.lic,scripts/ForgeMaster.lic,lic,89777,3292,2026-05-08T21:45:17Z,"",,true,"","",afc70a56c998b695c40c75833b19f4bedf0e53d495fe9578a40c68ea655bca4c
scripts,primary,elanthia-online/scripts,stage/scripts/scripts/Killtracker.lic,scripts/Killtracker.lic,lic,45791,1247,2026-05-08T21:45:17Z,2025-09-21|2025-09-16|2025-09-15|2025-09-14|2025-08-23,2025-09-21,true,"","",df41ac076db53c5fb8a0609cff2109791cc3130b428073114793c00db2ec7725
scripts,primary,elanthia-online/scripts,stage/scripts/scripts/MyFletch.lic,scripts/MyFletch.lic,lic,16914,515,2026-05-08T21:45:17Z,"",,true,"","",5935235aff322700b5f7e20b0d7d61ba95826351c32de3ed3a2f1b73be5def43
